FOSSIL,AFFINITIES,Age Max,Age Min,Period,Region,Locality,FORMATION,Structure,Specimen,Collection,REFERENCE
Cibotium_tasmanense,Cibotiaceae,66,33.9,Tertiary (early),Tasmania,Catamaran Road,Toms Bottom,Tino,"UTG81759 (holotype), UTG87526","University of Tasmania, department of Geology",Gould-1971
Cnemidaria_magna,Cyathea_NW,56,47,Early Eocene (Wasatchian),North America,Camels Butte member,Golden Valley Fm,Sterile foliage,"USNM 5096 (lectotype), 43612, 42782, 42783 (Golden Valley Fm.) ",United States National Museum,Hickey-1977
Cnemidaria_sp,Cyathea_NW,23.3,2.58,Miocene-Pliocene,"Eastern Cordillera, Bolivia",Pislepampa locality of E.W. Berry,Pislepampa flora,Spores,"ESF P-46, 1–3",palynological collections at Kent State University,Graham_et al-2001
Conantiopteris_schumanii,Dicksoniaceae,125,113,Lower Aptian,California,"Shoup Ranch Gulch, Shasta County",Upper Chickabally Member,Stem,CS 5010 (holotype),California Academy of Sciences,Lantz_etal.1999
Coniopteris_bella,Cyatheales,168,166,Bathonian,UK,"Red Cliff, Burniston Wyke, High Whitby Fog Signal",Scalby Fm.,Spores,"v.28474 $1, v.5948, v.24667-8, v.32007A, v.32082, v.25888, v.52545",British Museum (Natural History),vanKonijnenburg-1989
Coniopteris_blomstrandii,Culcitaceae,56,33.9,Eocene (?),Arctic,"Ny-Alesund (Kings Bay), Spitsbergen",Asperlintoppen Fm. (?),Fertile foliage,"Plate 1, figs 1-8; plate 2, fig. 3; plate 3 figs 9-10","Riksmuseet, Sotckholm; Palaeontological Museum, Oslo; Natural History Museum, London",Kvacek_Manum-1993
Coniopteris_cf_murrayana,Cyatheales,201.3,174.1,Lower Jurassic,Antartica,Botany Bay,,Fertile foliage,"D.8954.3B, R.1310.83",,Rees_Cleal-2004
Coniopteris_concinna,Cyatheales,174,163,Middle Jurassic,UK,Beast Cliff “fern bed”,Haiburn Fm.,Spores,"v.31998, v.32004",British Museum (Natural History),vanKonijnenburg-1989
Coniopteris_hymenophylloides,Cyatheales,170,168,Bajocian,UK,"Haiburn Wyke “Zamites bed”, Whitby, Cloughton Wyke “Anomozamites nilssoni bed”, Cayton Bay “Gristhorpe bed”.",Saltwick & Cloughton Fm.,Spores,"39263, 39265-6, 39268, v.25863, v.31987-8, v.32013, v.32015, v.32278, v.60196, S.1100 (Yor-5), s.2325 (Yor-6), S.3031 (Yor-30), S.6393 (Yor-83), S.7548 (Yor-96)",British Museum (Natural History),vanKonijnenburg-1989
Coniopteris_lobata,Cyatheales,201.3,174.1,Lower Jurassic,Antartica,Hope Bay and Botany Bay,,Fertile foliage,"D.8911.1B, D.8916B, D.8047.4A, D.8947.4B, D.8947.11A, D.8947.17B, D.8958.10A; 8003",,Rees_Cleal-2004
